method,judge,n,mean_score,correct,partial,incorrect,parse_fail
graph_guided_text_v14,deepseek,79,0.5823,40,12,27,0
graph_guided_text_v14,grok,80,0.5375,41,4,35,0
graph_guided_text_v14,kimi,80,0.5687,40,11,29,0
graph_guided_text_v14,openai_gpt4o,80,0.5813,31,31,18,0
graph_structured_v14,deepseek,80,0.575,39,14,27,0
graph_structured_v14,grok,80,0.4938,39,1,40,0
graph_structured_v14,kimi,80,0.6125,46,7,27,0
graph_structured_v14,openai_gpt4o,80,0.6,34,28,18,0
source_text_concat_v14,deepseek,79,0.2152,9,16,54,0
source_text_concat_v14,grok,80,0.1187,8,3,69,0
source_text_concat_v14,kimi,80,0.25,15,10,55,0
source_text_concat_v14,openai_gpt4o,80,0.2562,7,27,46,0
vector_multi_by_company_chunk_v15,deepseek,80,0.0938,2,11,67,0
vector_multi_by_company_chunk_v15,grok,80,0.0312,2,1,77,0
vector_multi_by_company_chunk_v15,kimi,80,0.1187,3,13,64,0
vector_multi_by_company_chunk_v15,openai_gpt4o,80,0.0813,2,9,69,0
vector_single_chunk_v15,deepseek,80,0.1375,3,16,61,0
vector_single_chunk_v15,grok,80,0.0375,3,0,77,0
vector_single_chunk_v15,kimi,80,0.1313,5,13,62,0
vector_single_chunk_v15,openai_gpt4o,80,0.0875,2,10,68,0
